,AS Monaco Basket 2020->2021,BC UNICS 2020->2021,Hapoel Tel Aviv 2024->2025,KK Partizan 2021->2022,Paris Basketball 2023->2024,Valencia Basket 2021->2022,Valencia Basket 2024->2025,Virtus Bologna 2021->2022,median_ratio,ratio_sd
drb_pct_2p,0.9852,0.9343,0.948,0.9521,0.8878,0.9568,1.0213,0.9808,0.9545,0.0394
drb_pct_3p,1.0631,0.9834,0.9831,0.9349,0.976,0.9807,0.9351,0.9764,0.9785,0.0396
drb_pct_ft,0.9954,0.6839,0.985,0.8338,0.8859,0.8402,0.8603,0.9218,0.8731,0.0989
trb_pct,0.9599,0.9298,0.965,0.902,0.9122,0.8665,0.9599,0.9439,0.9369,0.0345
st_pct,1.0313,1.3274,0.8119,0.8492,0.7071,1.3369,0.9617,0.9683,0.965,0.2293
blk_pct,0.7541,0.9207,0.9224,0.8061,0.6306,0.8431,1.0189,0.7097,0.8246,0.1271
blk_pct_2p,0.864,0.8132,0.8744,0.6719,0.6648,0.82,0.9934,0.6861,0.8166,0.1167
blk_pct_3p,0.3527,6.96,0.949,2.9247,0.2802,,1.8785,1.0081,1.0081,2.3528
kills,0.9232,1.1956,0.9961,0.7067,0.6968,0.9144,0.906,1.0102,0.9188,0.1628
opp_pts,1.0569,0.947,1.0642,1.063,1.0878,1.0585,1.0454,1.0407,1.0577,0.0422
win,0.7477,0.832,0.8067,0.8462,0.5502,0.6618,0.7778,0.6039,0.7627,0.1103
